Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.17     0.00      244     0.00     0.00  mc_opdef_lookup
  0.00      0.17     0.00      244     0.00     0.00  mc_parser_makedef
  0.00      0.17     0.00      235     0.00     0.00  mc_basicarray_pop
  0.00      0.17     0.00      235     0.00     0.00  mc_basicarray_removeat
  0.00      0.17     0.00      230     0.00     0.00  mc_astexpr_makeexpression
  0.00      0.17     0.00      183     0.00     0.00  mc_parser_getprecedence
  0.00      0.17     0.00      169     0.00     0.00  mc_lexer_lookupident
  0.00      0.17     0.00      169     0.00     0.00  mc_lexer_scanident
  0.00      0.17     0.00      150     0.00     0.00  mc_lexer_expectcurrent
  0.00      0.17     0.00      140     0.00     0.00  mc_value_isallocated
  0.00      0.17     0.00      128     0.00     0.00  mc_astident_destroy
  0.00      0.17     0.00      127     0.00     0.00  mc_astident_make
  0.00      0.17     0.00      127     0.00     0.00  mc_asttoken_dupliteralstring
  0.00      0.17     0.00      121     0.00     0.00  mc_symtable_resolve
  0.00      0.17     0.00      120     0.00     0.00  mc_parser_parseexpression
  0.00      0.17     0.00      117     0.00     0.00  mc_ptrlist_destroy
  0.00      0.17     0.00      116     0.00     0.00  mc_ptrdict_setactual
  0.00      0.17     0.00      116     0.00     0.00  mc_ptrdict_setintern
  0.00      0.17     0.00      109     0.00     0.00  mc_ptrlist_make
  0.00      0.17     0.00      109     0.00     0.00  mc_ptrlist_setempty
  0.00      0.17     0.00       99     0.00     0.00  mc_symbol_destroy
  0.00      0.17     0.00       99     0.00     0.00  mc_symbol_make
  0.00      0.17     0.00       97     0.00     0.00  mc_gcmemory_allocobjectdata
  0.00      0.17     0.00       97     0.00     0.00  mc_object_makedatafrom
  0.00      0.17     0.00       97     0.00     0.00  mc_objectdata_deinit
  0.00      0.17     0.00       95     0.00     0.00  mc_value_isnull
  0.00      0.17     0.00       94     0.00     0.00  mc_ptrdict_set
  0.00      0.17     0.00       88     0.00     0.00  mc_astexpr_makeident
  0.00      0.17     0.00       87     0.00     0.00  mc_compiler_readsymbol
  0.00      0.17     0.00       87     0.00     0.00  mc_lexer_addline
  0.00      0.17     0.00       87     0.00     0.00  mc_parser_parseident
  0.00      0.17     0.00       85     0.00     0.00  mc_ptrlist_clear
  0.00      0.17     0.00       84     0.00     0.00  mc_ptrlist_clearanddestroy
  0.00      0.17     0.00       82     0.00     0.00  mc_state_gcmarkobject
  0.00      0.17     0.00       64     0.00     0.00  mc_basicarray_initcapacity
  0.00      0.17     0.00       56     0.00     0.00  mc_lexer_peekchar
  0.00      0.17     0.00       56     0.00     0.00  mc_symtable_setsymbol
  0.00      0.17     0.00       50     0.00     0.00  mc_vallist_count
  0.00      0.17     0.00       49     0.00     0.00  mc_vallist_push
  0.00      0.17     0.00       46     0.00     0.00  mc_basicarray_deinit
  0.00      0.17     0.00       46     0.00     0.00  mc_basicarray_destroy
  0.00      0.17     0.00       46     0.00     0.00  mc_basicarray_make
  0.00      0.17     0.00       46     0.00     0.00  mc_basicarray_makecapacity
  0.00      0.17     0.00       45     0.00     0.00  dyn_strutil_rndup2pow64
  0.00      0.17     0.00       44     0.00     0.00  mc_astparser_parsestatement
  0.00      0.17     0.00       44     0.00     0.00  mc_compiler_compileexpression
  0.00      0.17     0.00       44     0.00     0.00  mc_compiler_compilestatement
  0.00      0.17     0.00       43     0.00     0.00  mc_value_makefuncnative
  0.00      0.17     0.00       42     0.00     0.00  mc_memory_realloc
  0.00      0.17     0.00       40     0.00     0.00  mc_compiler_defsymbol
  0.00      0.17     0.00       40     0.00     0.00  mc_symtable_define
  0.00      0.17     0.00       40     0.00     0.00  mc_symtable_getnumdefs
  0.00      0.17     0.00       40     0.00     0.00  mc_symtable_ismodglobalscope
  0.00      0.17     0.00       40     0.00     0.00  mc_symtable_istopglobalscope
  0.00      0.17     0.00       40     0.00     0.00  mc_symtable_nextsymindex
  0.00      0.17     0.00       37     0.00     0.00  mc_gcmemory_getdatafrompool
  0.00      0.17     0.00       37     0.00     0.00  mc_state_gcgetpoolfortype
  0.00      0.17     0.00       36     0.00     0.00  stod_diyfp_mul
  0.00      0.17     0.00       36     0.00     0.00  stod_diyfp_normalize
  0.00      0.17     0.00       36     0.00     0.00  stod_diyfp_shift_left
  0.00      0.17     0.00       36     0.00     0.00  stod_leading_zeros64
  0.00      0.17     0.00       35     0.00     0.00  mc_astexpr_makecallexpr
  0.00      0.17     0.00       35     0.00     0.00  mc_globalstore_setnamed
  0.00      0.17     0.00       35     0.00     0.00  mc_parser_parsecallexpr
  0.00      0.17     0.00       35     0.00     0.00  mc_parser_parseexprlist
  0.00      0.17     0.00       35     0.00     0.00  mc_state_setglobalconstant
  0.00      0.17     0.00       32     0.00     0.00  dyn_strbuf_appendstrn
  0.00      0.17     0.00       32     0.00     0.00  dyn_strbuf_destroy
  0.00      0.17     0.00       32     0.00     0.00  dyn_strbuf_ensurecapacityupdateptr
  0.00      0.17     0.00       32     0.00     0.00  dyn_strbuf_makeempty
  0.00      0.17     0.00       32     0.00     0.00  dyn_strbuf_makefromptr
  0.00      0.17     0.00       32     0.00     0.00  mc_memory_calloc
  0.00      0.17     0.00       32     0.00     0.00  mc_valstring_appendlen
  0.00      0.17     0.00       32     0.00     0.00  mc_value_makestrcapacity
  0.00      0.17     0.00       32     0.00     0.00  mc_value_makestringlen
  0.00      0.17     0.00       29     0.00     0.00  mc_allocator_realloc
  0.00      0.17     0.00       29     0.00     0.00  mc_state_setnativefunction
  0.00      0.17     0.00       29     0.00     0.00  mc_value_makestring
  0.00      0.17     0.00       27     0.00     0.00  mc_class_addfunction
  0.00      0.17     0.00       26     0.00     0.00  mc_compiler_storesymbol
